_id	errorCode	errorMessage	priority	imageUrl	buttons	isActive	message.en.title	message.en.subTitle	message.id.title	message.id.subTitle	message.en.eventLabel	message.id.eventLabel
66d016804049db0001592cca	BOOKING_INTEGRATOR_FAILED	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/16bab5ca-5355-4381-92f7-d280cfa9c49e-1638203900966-f63080e28dcd12acbf58a09133d4f812.png	[{'text': {'id': 'Cari penerbangan lain', 'en': 'Search other flights'}, 'link': '', 'scrollTo': '', 'style': 'SECONDARY', 'type': 'searchResultPage', 'eventLabel': 'integratorFailed'}, {'text': {'id': 'Coba lagi', 'en': 'Try again'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'submitBooking', 'eventLabel': 'integratorFailed'}]	TRUE	Still can't connect with the airline	Please try again to continue your ticket booking to the payment process.	Belum berhasil terhubung dengan maskapai	Silakan coba lagi untuk melanjutkan pemesanan tiketmu ke proses pembayaran.	integratorFailed	integratorFailed
67a46e75fb696700013a085f	NO_SEAT	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit00gsmenlarge1/string/2024/03/27/e5ad1381-eb3f-4d2f-a495-4e60da19c288-1711525695884-2bba237e0a76fd47eaa77aae903c60f5.png	[{'text': {'id': 'Cari penerbangan lain', 'en': 'Find another flight'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'searchResultPage', 'eventLabel': 'noSeat'}]	TRUE	Tickets sold out	Let's find another flight with a similar schedule!	Tiket habis terjual	Ayo, cari penerbangan lain dengan jadwal serupa!	noSeat	noSeat
67e25b9231095c000111c40c	FORM_VALIDATOR_ERROR	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit00gsmenlarge1/string/2024/03/27/d017d504-afba-4946-aa18-8a21bfd7ed1d-1711524934573-b82ed87d8cc1145323ea7f76cc79c5a8.png	[{'text': {'id': 'Oke, mengerti', 'en': 'OK, got it'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'bookingFormPage', 'eventLabel': 'formValidatorError'}]	TRUE	There is a problem with the passenger data	To continue to payment, check the passenger form again and make sure it is correct.	Ada masalah dengan data penumpang	Untuk lanjut ke pembayaran, cek lagi form penumpang dan pastikan sudah benar, ya!	formValidatorError	formValidatorError
681d82462c4b0d00016c56a9	FAILED_RESCHEDULE_REQUEST	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/4aab2b48-b1d3-4cec-8060-6d6aedd356d1-1638203901880-11891ab247291827239d4cab7d56bacd.png	[{'text': {'id': 'Try Again', 'en': 'Coba Lagi'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'orderPage', 'eventLabel': 'rescheduleError'}, {'text': {'id': 'Hubungi Customer Care', 'en': 'Contact Customer Care'}, 'link': 'https://www.tiket.com/help-center/contact-us', 'scrollTo': '', 'style': 'SECONDARY', 'type': '', 'eventLabel': 'rescheduleError'}]	TRUE	Sorry, there is a problem	Just relax, we are working to solve it as quickly as possible. Please try again later.	Maaf ya, ada sedikit gangguan	Tenang, kami sedang beraksi mengatasi gangguan ini. Coba lagi nanti ya.	failedRescheduleRequest	failedRescheduleRequest
6825a6fcb56bad0001125789	FAILED_RESCHEDULE_UNAPPLY	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/4aab2b48-b1d3-4cec-8060-6d6aedd356d1-1638203901880-11891ab247291827239d4cab7d56bacd.png	[{'text': {'id': 'Try Again', 'en': 'Coba Lagi'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'orderPage', 'eventLabel': 'rescheduleError'}, {'text': {'id': 'Hubungi Customer Care', 'en': 'Contact Customer Care'}, 'link': 'https://www.tiket.com/help-center/contact-us', 'scrollTo': '', 'style': 'SECONDARY', 'type': '', 'eventLabel': 'rescheduleError'}]	TRUE	Sorry, there is a problem	Just relax, we are working to solve it as quickly as possible. Please try again later.	Maaf ya, ada sedikit gangguan	Tenang, kami sedang beraksi mengatasi gangguan ini. Coba lagi nanti ya.	failedRescheduleUnapply	failedRescheduleUnapply
683427c5e67a600001d61a8d	FLIGHT_RESCHEDULE_CART_FAILED	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/c7aaba29-ca8c-4220-a526-ff9b70b5cf2d-1638203899235-d592fe55434e3f5e3aa86626d0e04c5c.png	[{'text': {'id': 'Cari Penerbangan Lain', 'en': 'Find Other Flights'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'searchResultPage', 'eventLabel': 'rescheduleError'}]	TRUE	Let’s find other flights	The airline is currently not responding or there is a problem. You can search for other flights on the date you have selected.	Cari penerbangan lain yuk	Maskapai sedang tidak merespon atau ada gangguan. Kamu bisa cari penerbangan lain pada tanggal yang kamu mau.	flightRescheduleCartFailed	flightRescheduleCartFailed
683428a7ccd5b40001e84009	RESCHEDULE_VALIDATION_ERROR	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/c7aaba29-ca8c-4220-a526-ff9b70b5cf2d-1638203899235-d592fe55434e3f5e3aa86626d0e04c5c.png	[{'text': {'id': 'Cari Penerbangan Lain', 'en': 'Find Other Flights'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'searchResultPage', 'eventLabel': 'rescheduleError'}]	TRUE	Let’s find other flights	The airline is currently not responding or there is a problem. You can search for other flights on the date you have selected.	Cari penerbangan lain yuk	Maskapai sedang tidak merespon atau ada gangguan. Kamu bisa cari penerbangan lain pada tanggal yang kamu mau.	rescheduleValidationError	rescheduleValidationError
683429d0b36d89000110a133	RESCHEDULE_DATA_NOT_MATCH	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/4aab2b48-b1d3-4cec-8060-6d6aedd356d1-1638203901880-11891ab247291827239d4cab7d56bacd.png	[{'text': {'id': 'Coba Lagi', 'en': 'Try Again'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'orderPage', 'eventLabel': 'rescheduleError'}, {'text': {'id': 'Hubungi Customer Care', 'en': 'Contact Customer Care'}, 'link': 'https://www.tiket.com/help-center/contact-us', 'scrollTo': '', 'style': 'SECONDARY', 'type': '', 'eventLabel': 'rescheduleError'}]	TRUE	Sorry, there is a problem	Please try again or contact Customer Care for assistance in submitting a reschedule.	Maaf ya, ada sedikit gangguan	Silakan coba lagi atau hubungi Customer Care untuk bantuan pengajuan reschedule.	rescheduleDataNotMatch	rescheduleDataNotMatch
68342a44e67a600001d61a8e	RESCHEDULE_DATA_NOT_ALLOWED	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/4aab2b48-b1d3-4cec-8060-6d6aedd356d1-1638203901880-11891ab247291827239d4cab7d56bacd.png	[{'text': {'id': 'Coba Lagi', 'en': 'Try Again'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'orderPage', 'eventLabel': 'rescheduleError'}, {'text': {'id': 'Hubungi Customer Care', 'en': 'Contact Customer Care'}, 'link': 'https://www.tiket.com/help-center/contact-us', 'scrollTo': '', 'style': 'SECONDARY', 'type': '', 'eventLabel': 'rescheduleError'}]	TRUE	Sorry, there is a problem	Please try again or contact Customer Care for assistance in submitting a reschedule.	Maaf ya, ada sedikit gangguan	Silakan coba lagi atau hubungi Customer Care untuk bantuan pengajuan reschedule.	rescheduleDataNotAllowed	rescheduleDataNotAllowed
68342b6837372f00012b34b5	UPDATE_RESCHEDULE_FINAL_DATA_FAILED	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/16bab5ca-5355-4381-92f7-d280cfa9c49e-1638203900966-f63080e28dcd12acbf58a09133d4f812.png	[{'text': {'id': 'Muat ulang', 'en': 'Reload'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'Stay', 'eventLabel': 'rescheduleError'}]	TRUE	Let's order again!	Failed to save your order because there was a little problem	Coba pesan lagi yuk!	Pesananmu gagal tersimpan karena ada gangguan.	updateRescheduleFinalDataFailed	updateRescheduleFinalDataFailed
68342bdcf0180d00015e5cf5	RESCHEDULE_LOCK_INVALID	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/4aab2b48-b1d3-4cec-8060-6d6aedd356d1-1638203901880-11891ab247291827239d4cab7d56bacd.png	[{'text': {'id': 'Coba Lagi', 'en': 'Try Again'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'orderPage', 'eventLabel': 'rescheduleError'}, {'text': {'id': 'Hubungi Customer Care', 'en': 'Contact Customer Care'}, 'link': 'https://www.tiket.com/help-center/contact-us', 'scrollTo': '', 'style': 'SECONDARY', 'type': '', 'eventLabel': 'rescheduleError'}]	TRUE	Sorry, there is a problem	Please try again or contact Customer Care for assistance in submitting a reschedule.	Maaf ya, ada sedikit gangguan	Silakan coba lagi atau hubungi Customer Care untuk bantuan pengajuan reschedule.	rescheduleLockInvalid	rescheduleLockInvalid
68342c4c9c440b0001877a2d	RESCHEDULE_REQUEST_ALREADY_USED	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/4aab2b48-b1d3-4cec-8060-6d6aedd356d1-1638203901880-11891ab247291827239d4cab7d56bacd.png	[{'text': {'id': 'Coba Lagi', 'en': 'Try Again'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'orderPage', 'eventLabel': 'rescheduleError'}, {'text': {'id': 'Hubungi Customer Care', 'en': 'Contact Customer Care'}, 'link': 'https://www.tiket.com/help-center/contact-us', 'scrollTo': '', 'style': 'SECONDARY', 'type': '', 'eventLabel': 'rescheduleError'}]	TRUE	Sorry, there is a problem	Please try again or contact Customer Care for assistance in submitting a reschedule.	Maaf ya, ada sedikit gangguan	Silakan coba lagi atau hubungi Customer Care untuk bantuan pengajuan reschedule.	rescheduleRequestAlreadyUsed	rescheduleRequestAlreadyUsed
68342cae2b5d44000176a00c	UPDATE_CREATE_ORDER_RESCHEDULE_REQUEST_LOG_FAILED	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/16bab5ca-5355-4381-92f7-d280cfa9c49e-1638203900966-f63080e28dcd12acbf58a09133d4f812.png	[{'text': {'id': 'Muat ulang', 'en': 'Reload'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'Stay', 'eventLabel': 'rescheduleError'}]	TRUE	Let's order again!	Failed to save your order because there was a little problem	Coba pesan lagi yuk!	Pesananmu gagal tersimpan karena ada gangguan.	updateCreateOrderRescheduleRequestLogFailed	updateCreateOrderRescheduleRequestLogFailed
68342d2038e4cd00015dc1fa	RESCHEDULE_DATA_INVALID	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/4aab2b48-b1d3-4cec-8060-6d6aedd356d1-1638203901880-11891ab247291827239d4cab7d56bacd.png	[{'text': {'id': 'Coba Lagi', 'en': 'Try Again'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'orderPage', 'eventLabel': 'rescheduleError'}, {'text': {'id': 'Hubungi Customer Care', 'en': 'Contact Customer Care'}, 'link': 'https://www.tiket.com/help-center/contact-us', 'scrollTo': '', 'style': 'SECONDARY', 'type': '', 'eventLabel': 'rescheduleError'}]	TRUE	Sorry, there is a problem	Please try again or contact Customer Care for assistance in submitting a reschedule.	Maaf ya, ada sedikit gangguan	Silakan coba lagi atau hubungi Customer Care untuk bantuan pengajuan reschedule.	rescheduleDataInvalid	rescheduleDataInvalid
68342d940d863500012b6c0a	RESCHEDULE_NOT_ALLOWED	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/si/2021/11/29/4aab2b48-b1d3-4cec-8060-6d6aedd356d1-1638203901880-11891ab247291827239d4cab7d56bacd.png	[{'text': {'id': 'Coba Lagi', 'en': 'Try Again'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'orderPage', 'eventLabel': 'rescheduleError'}, {'text': {'id': 'Hubungi Customer Care', 'en': 'Contact Customer Care'}, 'link': 'https://www.tiket.com/help-center/contact-us', 'scrollTo': '', 'style': 'SECONDARY', 'type': '', 'eventLabel': 'rescheduleError'}]	TRUE	Sorry, there is a problem	Please try again or contact Customer Care for assistance in submitting a reschedule.	Maaf ya, ada sedikit gangguan	Silakan coba lagi atau hubungi Customer Care untuk bantuan pengajuan reschedule.	rescheduleNotAllowed	rescheduleNotAllowed
685a7691200fe600019d9f9c	INCLUSIVE_BAGGAGE_CHANGE_SINGLE_SCHEDULE	*	2	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10000gsmenlarge1/string/2025/06/24/5c93bea0-2bce-4c1b-897f-50e8144d1577-1750758833824-4fe1ee7a4c3a505bbd1d6c673602fcb0.png	[{'text': {'id': 'OK, Mengerti', 'en': 'OK, Got It'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'paymentPage', 'eventLabel': 'inclusiveBaggageSingleSchedule'}]	TRUE	Baggage allowance has changed	The checked baggage allowance per passenger on %s-%s flight has changed from %s %s to %s %s	Ada perubahan batas bagasi	Batas bagasi per penumpang untuk penerbangan %s-%s berubah dari %s %s menjadi %s %s	inclusiveBaggageSingleSchedule	inclusiveBaggageSingleSchedule
685a77d6200fe600019d9f9d	INCLUSIVE_BAGGAGE_CHANGE_MULTI_SCHEDULE	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10000gsmenlarge1/string/2025/06/24/5c93bea0-2bce-4c1b-897f-50e8144d1577-1750758833824-4fe1ee7a4c3a505bbd1d6c673602fcb0.png	[{'text': {'id': 'OK, Mengerti', 'en': 'OK, Got It'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'paymentPage', 'eventLabel': 'inclusiveBaggageMultiSchedule'}]	TRUE	Baggage allowance has changed	%s-%s from %s %s to %s %s	Ada perubahan batas bagasi	%s-%s dari %s %s menjadi %s %s	inclusiveBaggageMultiSchedule	inclusiveBaggageMultiSchedule
68b53b5279285900018d756a	FARE_ALREADY_SOLD_OUT	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit00gsmenlarge1/string/2024/03/27/e5ad1381-eb3f-4d2f-a495-4e60da19c288-1711525695884-2bba237e0a76fd47eaa77aae903c60f5.png	[{'text': {'id': 'Cek tarif lain', 'en': 'Check other fares'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'productReviewPage', 'eventLabel': 'fareAlreadySoldoutPRP'}, {'text': {'id': 'Cari penerbangan lainnya', 'en': 'Find another flight'}, 'link': '', 'scrollTo': '', 'style': 'SECONDARY', 'type': 'searchResultPage', 'eventLabel': 'fareAlreadySoldoutSRP'}]	TRUE	Your ticket fare is sold out	You can check another fare or change to flight with a similar schedule.	Tarif tiket habis terjual	Kamu bisa cek tarif lain atau cari penerbangan lain dengan jadwal serupa.	fareAlreadySoldOut	fareAlreadySoldOut
6908501e7c8d7500019115ac	FARE_ALREADY_SOLDOUT	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit00gsmenlarge1/string/2024/03/27/e5ad1381-eb3f-4d2f-a495-4e60da19c288-1711525695884-2bba237e0a76fd47eaa77aae903c60f5.png	[{'text': {'id': 'Cek tarif lain', 'en': 'Check other fares'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'productReviewPage', 'eventLabel': 'fareAlreadySoldoutPRP'}, {'text': {'id': 'Cari penerbangan lainnya', 'en': 'Find another flight'}, 'link': '', 'scrollTo': '', 'style': 'SECONDARY', 'type': 'searchResultPage', 'eventLabel': 'fareAlreadySoldoutSRP'}]	TRUE	Your ticket fare is sold out	You can check another fare or change to flight with a similar schedule.	Tarif tiket habis terjual	Kamu bisa cek tarif lain atau cari penerbangan lain dengan jadwal serupa.	fareAlreadySoldOut	fareAlreadySoldOut
69a052e0cb59640001938564	ADDONS_PRICE_CHANGE_UP	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/test-discovery/2025/09/09/ee72ee40-dee1-49e7-947a-eaf56285de85-1757373908862-ff6f553fb7b74be6cc948b9a3dcdbdb4.png	[{'text': {'id': 'OK, Mengerti', 'en': 'OK, Got It'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'paymentPage', 'eventLabel': 'priceChangeAddons'}]	TRUE	The add-ons price has changed	Your selected add-ons price has increased from {customerCurrency} {searchPrice} to {customerCurrency} {bookingPrice} according to airline policy.	Harga fasilitas ekstra berubah, nih	Harga fasilitas ekstra pilihanmu naik dari {customerCurrency} {searchPrice} menjadi {customerCurrency} {bookingPrice} sesuai kebijakan maskapai penerbangan.	priceChangeAddons	priceChangeAddons
69a053475ab6340001a88d69	ADDONS_PRICE_CHANGE_DOWN	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/test-discovery/2025/09/09/63f12e16-fad8-4468-9668-e67deccca3e7-1757373908483-0574a2fa7cf7e9b34cc0ac78e0c7f43c.png	[{'text': {'id': 'OK, Mengerti', 'en': 'OK, Got It'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'paymentPage', 'eventLabel': 'priceChangeAddons'}]	TRUE	Yay, the add-ons price is more affordable!	Woo-hoo! Your add-ons price has dropped from {customerCurrency} {searchPrice} to {customerCurrency} {bookingPrice} according to airline policies.	Yay, harga fasilitas ekstranya jadi makin hemat!	Hore! Harga fasilitas ekstra pilihanmu turun dari {customerCurrency} {searchPrice} menjadi {customerCurrency} {bookingPrice} sesuai kebijakan maskapai penerbangan.	priceChangeAddons	priceChangeAddons
69a0540dd6064500012ea8b9	BOOKING_WINDOW_CLOSED	*	1	https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/original/test-discovery/2025/09/09/3cb533f5-2d52-4852-97e1-9ac4bf2a39b0-1757373913799-fcb9111cb67da156b6038d47a806701a.png	[{'text': {'id': 'OK, Mengerti', 'en': 'OK, Got It'}, 'link': '', 'scrollTo': '', 'style': 'PRIMARY', 'type': 'bookingFormPage', 'eventLabel': 'general'}]	TRUE	Booking window is closed	Add-ons online booking is closed by the airline. You may try to book it to the airline.	Waktu pemesanan ditutup	Pemesanan online fasilitas ekstra telah ditutup maskapai. Silakan coba pesan langsung melalui maskapai.	general	general