Vertical	Category	Error Related To	Validated In (Page)	Error Message/Content	Action Button	Impact	Compatibility with Hotel	Shown to Users in 1st phase of flight x hotel	Figma Link
Flight	ADDONS_BAGGAGE_CHANGE	INCLUSIVE_BAGGAGE_CHANGE	Booking Form to Payment Page	Sorry, your baggage allowance has changed The airline has changed your free baggage allowance. Check the latest information in flight details.	button name=OK, Got It; style=PRIMARY; action=paymentPage	Does not disrupt flow		Yes	
Flight	ADDONS_BAGGAGE_AVAILABILITY	BOOKING_INTEGRATOR_MEALS_NOT_AVAILABLE	Booking Form to Payment Page	Order food online is unavailable The price has been changed back to the price before food order.	button name=OK, Got It; style=PRIMARY; action=stayDisableMeals			No	
Flight	ADDONS_BAGGAGE_AVAILABILITY	BOOKING_INTEGRATOR_SEAT_NOT_AVAILABLE	Booking Form to Payment Page	Failed to save your seat selection There’s an error from the airline. Relax, you can still select seats at the airport check-in counter.	button name=OK, Got It; style=PRIMARY; action=stayDisableSeat			No	
Flight	ADDONS_BAGGAGE_AVAILABILITY	BOOKING_INTEGRATOR_INVALID_BAGGAGE	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Reload; style=PRIMARY; action=bookingFormPage			No	
Flight	ADDONS_BAGGAGE_AVAILABILITY	BOOKING_INTEGRATOR_BAGGAGE_NOT_AVAILABLE	Booking Form to Payment Page	Additional baggage is unavailable The price has been changed back to the price before baggage addition. You can still add baggage upon check-in at the airport.	button name=OK, Got It; style=PRIMARY; action=stayDisableBaggage			No	
Flight	ADDONS_BAGGAGE_AVAILABILITY	BAGGAGE_REQUEST_NOT_EQUAL_SIZE	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Reload; style=PRIMARY; action=bookingFormPage			No	
Flight	ADDONS_BAGGAGE_AVAILABILITY	FAILED_PARSING_BAGGAGE_REQUEST	Booking Form to Payment Page	Cannot add extra baggage here Please add the extra baggage at the airport.	button name=Remove baggage; style=PRIMARY; action=stayDisableBaggage			No	
Flight	ADDONS_BAGGAGE_CHANGE	INCLUSIVE_BAGGAGE_CHANGE_SINGLE_SCHEDULE	Booking Form to Payment Page	Baggage allowance has changed The checked baggage allowance per passenger on %s-%s flight has changed from %s %s to %s %s	button name=OK, Got It; style=PRIMARY; action=paymentPage	Does not disrupt flow		Yes	
Flight	ADDONS_BAGGAGE_CHANGE	INCLUSIVE_BAGGAGE_CHANGE_MULTI_SCHEDULE	Booking Form to Payment Page	Baggage allowance has changed %s-%s from %s %s to %s %s	button name=OK, Got It; style=PRIMARY; action=paymentPage	Does not disrupt flow		Yes	
Flight	AIRLINE_COMMUNICATION	FLIGHT_CART_FAILED	Booking Form to Payment Page	Let's check other flights The airline is currently not responding or there is a problem. You can search for other flights on the date you have selected.	button name=Find Other Flights; style=PRIMARY; action=searchResultPage	Disrupts flow		Yes	
Flight	AIRLINE_COMMUNICATION	BOOKING_INTEGRATOR_FAILED	Booking Form to Payment Page	Still can't connect with the airline Please try again to continue your ticket booking to the payment process.	button name=Search other flights; style=SECONDARY; action=searchResultPage button name=Try again; style=PRIMARY; action=submitBooking	May disrupt flow - step back		Yes	
Flight	AUTH_LOGIN	B2B_LOGIN_NEEDED	Booking Form to Payment Page	Your email is already registered. Let’s Log In! The email address you entered in the Contact Details is already registered as a corporate account. Log in now to continue your booking as a corporate account.	button name=Change the email; style=SECONDARY; action=bookingFormPage button name=Log In; style=PRIMARY; action=loginPage	May disrupt flow - cannot continue		Yes	
Flight	AUTH_LOGIN	LOGIN_REQUIRED	Booking Form to Payment Page	Log in to continue booking To book a ticket from this airline, you must log in first, or you can also try it on our apps!	button name=Login; style=PRIMARY; action=loginPage	Disrupts flow		Yes	
Flight	AVAILABILITY_SEAT_FARE	BOOKING_INTEGRATOR_NO_SEAT	Booking Form to Payment Page	Tickets sold out Let's find another flight with a similar schedule!	button name=Find another flight; style=PRIMARY; action=searchResultPage	Disrupts flow		Yes	
Flight	AVAILABILITY_SEAT_FARE	NO_SEAT	Booking Form to Payment Page	Tickets sold out Let's find another flight with a similar schedule!	button name=Find another flight; style=PRIMARY; action=searchResultPage	Disrupts flow		Yes	
Flight	AVAILABILITY_SEAT_FARE	FARE_ALREADY_SOLD_OUT	Booking Form to Payment Page	Your ticket fare is sold out You can check another fare or change to flight with a similar schedule.	button name=Check other fares; style=PRIMARY; action=productReviewPage button name=Find another flight; style=SECONDARY; action=searchResultPage	Disrupts flow		Yes	
Flight	AVAILABILITY_SEAT_FARE	FARE_ALREADY_SOLDOUT	Booking Form to Payment Page	Your ticket fare is sold out You can check another fare or change to flight with a similar schedule.	button name=Check other fares; style=PRIMARY; action=productReviewPage button name=Find another flight; style=SECONDARY; action=searchResultPage	Disrupts flow		Yes	
Flight	BOOKING_DOUBLE_LIMIT	DOUBLE_BOOKING_ERROR	Booking Form to Payment Page	Other similar orders are still waiting Pay the previous order or continue with this one. If you continue with this order, the previous one will be canceled.	button name=Manage orders; style=SECONDARY; action=orderPage button name=Continue to payment; style=PRIMARY; action=paymentPage	May disrupt flow - step back		Yes	
Flight	AVAILABILITY_SEAT_FARE	PARTIAL_SEAT_FAILED	Booking Form to Payment Page	Your order has been updated by the airline Some of the seats can't be added. But don't worry, the total price has been adjusted. See My Order for more details.	button name=Continue to Payment; style=PRIMARY; action=paymentPage			No	
Flight	BOOKING_DOUBLE_LIMIT	BOOKING_ORDER_LIMIT_RESTRICTED	Booking Form to Payment Page	Other orders are still waiting Pay or cancel your previous orders first.	button name=Manage orders; style=PRIMARY; action=orderPage	Disrupts flow		Yes	
Flight	BOOKING_SESSION_CART	CART_NOT_EXIST	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Reload; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	PASSENGER_DATA_VALIDATION	NAMING_RULE_NAME_ONE_CHARACTER	Booking Form to Payment Page	The passenger name is too short You cannot continue to payment because the name is too short. Change the passenger name to continue.	button name=Edit Name; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	PASSENGER_DATA_VALIDATION	VALIDATION_PASSENGERIDENTITY_NUMBER_IS_DUPLICATE	Booking Form to Payment Page	Re-check the passengers' NIK Make sure every passenger has a different NIK before proceeding to payment.	button name=OK, Got It; style=PRIMARY; action=bookingFormPage	Does not disrupt flow		Yes	
Flight	PASSENGER_DATA_VALIDATION	VALIDATION_PASSENGER_NAME_IS_DUPLICATE	Booking Form to Payment Page	There are identical names You cannot continue to payment because there is a duplicate name. Change the passenger name to continue.	button name=Change name; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	PASSENGER_DATA_VALIDATION	NAMING_RULE_LAST_NAME_VALIDATION	Booking Form to Payment Page	There is a problem with the passenger name To continue to payment, check the passenger name again and make sure it is correct.	button name=OK, got it; style=PRIMARY; action=bookingFormPage	Does not disrupt flow		Yes	
Flight	PASSENGER_DATA_VALIDATION	NAMING_RULE_NAME_IS_TOO_LONG	Booking Form to Payment Page	The passenger name is too long You cannot continue to payment because the name is too long. Edit the passenger name to continue.	button name=Edit name; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	PASSENGER_DATA_VALIDATION	FORM_VALIDATOR_ERROR	Booking Form to Payment Page	There is a problem with the passenger data To continue to payment, check the passenger form again and make sure it is correct.	button name=OK, got it; style=PRIMARY; action=bookingFormPage	Does not disrupt flow		Yes	
Flight	PASSENGER_RULES_RELATIONSHIP	VALIDATION_INFANT_MORE_THAN_ADULT	Booking Form to Payment Page	There are more infants than adults Each infant traveler must be accompanied by at least one adult passenger.	button name=Edit passenger; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	BOOKING_SESSION_CART	BOOKING_WINDOW_CLOSED	Booking Form to Payment Page	Booking window is closed Add-ons online booking is closed by the airline. You may try to book it to the airline.	button name=OK, Got It; style=PRIMARY; action=bookingFormPage			No	
Flight	PASSENGER_RULES_RELATIONSHIP	ADULT_BELOW_SIXTEEN_YEARS	Booking Form to Payment Page	Children must be accompanied by adults Children/infants must be accompanied by a passenger over 16 years old.	button name=Edit passenger; style=PRIMARY; action=searchResultPage	May disrupt flow - cannot continue		Yes	
Flight	PASSENGER_RULES_RELATIONSHIP	VALIDATION_ADULT_PAX_DOB_NOT_VALID	Booking Form to Payment Page	Children must be accompanied by adults Children/infants must be accompanied by a passenger over 16 years old.	button name=Edit passenger; style=PRIMARY; action=searchResultPage	May disrupt flow - cannot continue		Yes	
Flight	PRICE_CHANGE_TICKET	PRICE_CHANGE_ADJUSTMENT	Booking Form to Payment Page	The price has changed Promo has been fully redeemed. The total payment has changed from %s to %s. Check the price details before you pay.	button name=OK, Got It; style=PRIMARY; action=paymentPage	Does not disrupt flow		Yes	
Flight	PRICE_CHANGE_TICKET	PRICE_CHANGE_ADJUSTMENT_UP	Booking Form to Payment Page	The price has changed The total payment has changed from %s to %s. Check the price details before you pay.	button name=OK, Got It; style=PRIMARY; action=paymentPage	Does not disrupt flow		Yes	
Flight	PRICE_CHANGE_TICKET	PRICE_CHANGE_ADJUSTMENT_DOWN	Booking Form to Payment Page	The price has changed The total payment has changed from %s to %s. Check the price details before you pay.	button name=OK, Got It; style=PRIMARY; action=paymentPage	Does not disrupt flow		Yes	
Flight	PRICE_CHANGE_TICKET	PRICE_CHANGE_AIRLINES_DOWN	Booking Form to Payment Page	Yay, the ticket price is more affordable! Woo-hoo! Your ticket price has dropped from %s to %s according to airline policy.	button name=OK, Got It; style=PRIMARY; action=paymentPage	Does not disrupt flow		Yes	
Flight	PRICE_CHANGE_TICKET	PRICE_CHANGE_AIRLINES_UP	Booking Form to Payment Page	The ticket price has changed Your ticket price has increased from %s to %s according to airline policy.	button name=OK, Got It; style=PRIMARY; action=paymentPage	Does not disrupt flow		Yes	
Flight	PRICE_CHANGE_TICKET	PRICE_CHANGE_AIRLINES	Booking Form to Payment Page	The price has changed The total payment has been changed from %s to %s by the airline. Check the price details before you pay.	button name=OK, Got It; style=PRIMARY; action=paymentPage	Does not disrupt flow		Yes	
Flight	PRICE_CHANGE_TICKET	PRICE_CHANGE_GENERAL_UP	Booking Form to Payment Page	The price has changed The total payment has changed from %s to %s. Check the price details before you pay.	button name=OK, Got It; style=PRIMARY; action=paymentPage	Does not disrupt flow		Yes	
Flight	PRICE_CHANGE_TICKET	PRICE_CHANGE_GENERAL_DOWN	Booking Form to Payment Page	The price has changed The total payment has changed from %s to %s. Check the price details before you pay.	button name=OK, Got It; style=PRIMARY; action=paymentPage	Does not disrupt flow		Yes	
Flight	PRICE_CHANGE_TICKET	PRICE_CHANGE_GENERAL	Booking Form to Payment Page	The price has changed The total payment has changed from %s to %s. Check the price details before you pay.	button name=OK, Got It; style=PRIMARY; action=paymentPage	Does not disrupt flow		Yes	
Flight	QUEUE_TIMEOUT	BOOKING_FLOODING_VALIDATION	Booking Form to Payment Page	Please wait a moment You are still in line for the order process. Refresh to see your booking process.	button name=Refresh; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	PRICE_CHANGE_ADDONS	PRICE_CHANGE_ADDONS	Booking Form to Payment Page	The travel add-ons price has changed The total payment has changed from %s, to %s. Check the price details before you pay.	button name=OK, Got It; style=PRIMARY; action=paymentPage			No	
Flight	QUEUE_TIMEOUT	BOOKING_FLOODING_KEY_INVALID	Booking Form to Payment Page	Please wait a moment You are still in line for the order process.	button name=OK, Got It; style=PRIMARY; action=bookingFormPage	Does not disrupt flow		Yes	
Flight	PRICE_CHANGE_ADDONS	PRICE_CHANGE_ADDONS_UP	Booking Form to Payment Page	The add-ons price has changed Your selected add-ons price has increased from %s to %s according to airline policy.	button name=OK, Got It; style=PRIMARY; action=paymentPage			No	
Flight	PRICE_CHANGE_ADDONS	PRICE_CHANGE_ADDONS_DOWN	Booking Form to Payment Page	Yay, the add-ons price is more affordable! Woo-hoo! Your add-ons price has dropped from %s to %s according to airline policies.	button name=OK, Got It; style=PRIMARY; action=paymentPage			No	
Flight	QUEUE_TIMEOUT	BOOKING_TIME_OUT	Booking Form to Payment Page	Booking time is up Do you need more time to fill out the order details?	button name=Find another flight; style=SECONDARY; action=searchResultPage button name=Add more time; style=PRIMARY; action=bookingFormPage	May disrupt flow - step back		Yes	
Flight	SYSTEM_TECHNICAL	BOOKING_UNCOMPLETED_PARAMETER_DATA	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Reload; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	PRICE_CHANGE_ADDONS	ADDONS_PRICE_CHANGE_UP	Booking Form to Payment Page	The add-ons price has changed Your selected add-ons price has increased from {customerCurrency} {searchPrice} to {customerCurrency} {bookingPrice} according to airline policy.	button name=OK, Got It; style=PRIMARY; action=paymentPage			No	
Flight	PRICE_CHANGE_ADDONS	ADDONS_PRICE_CHANGE_DOWN	Booking Form to Payment Page	Yay, the add-ons price is more affordable! Woo-hoo! Your add-ons price has dropped from {customerCurrency} {searchPrice} to {customerCurrency} {bookingPrice} according to airline policies.	button name=OK, Got It; style=PRIMARY; action=paymentPage			No	
Flight	SYSTEM_TECHNICAL	BOOKING_CREATE_ORDER_FAILED	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Reload; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	SYSTEM_TECHNICAL	BOOKING_ORDER_CORE_FAILED	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Reload; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	SYSTEM_TECHNICAL	ERROR_DEFAULT	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Reload; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	SYSTEM_TECHNICAL	BOOKING_ORDER_CREATE_ORDER_FAILED	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Reload; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	SYSTEM_TECHNICAL	BOOKING_FAILED	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Reload; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	SYSTEM_TECHNICAL	RUNTIME_ERROR	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Reload; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	SYSTEM_TECHNICAL	NAMING_RULE_DATA_NOT_EXIST	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Reload; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	SYSTEM_TECHNICAL	RESELLER_INFO_DATA_NOT_EXIST	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Reload; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	SYSTEM_TECHNICAL	BOOKING_ORDER_UPDATE_ORDER_FAILED	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Reload; style=PRIMARY; action=bookingFormPage	May disrupt flow - cannot continue		Yes	
Flight	RESCHEDULE_FLOW	FAILED_RESCHEDULE_REQUEST	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Coba Lagi; style=PRIMARY; action=orderPage button name=Contact Customer Care; style=SECONDARY; action=			No	
Flight	RESCHEDULE_FLOW	FAILED_RESCHEDULE_UNAPPLY	Booking Form to Payment Page	Sorry, there is a problem Just relax, we are working to solve it as quickly as possible. Please try again later.	button name=Coba Lagi; style=PRIMARY; action=orderPage button name=Contact Customer Care; style=SECONDARY; action=			No	
Flight	RESCHEDULE_FLOW	FLIGHT_RESCHEDULE_CART_FAILED	Booking Form to Payment Page	Let’s find other flights The airline is currently not responding or there is a problem. You can search for other flights on the date you have selected.	button name=Find Other Flights; style=PRIMARY; action=searchResultPage			No	
Flight	RESCHEDULE_FLOW	RESCHEDULE_VALIDATION_ERROR	Booking Form to Payment Page	Let’s find other flights The airline is currently not responding or there is a problem. You can search for other flights on the date you have selected.	button name=Find Other Flights; style=PRIMARY; action=searchResultPage			No	
Flight	RESCHEDULE_FLOW	RESCHEDULE_DATA_NOT_MATCH	Booking Form to Payment Page	Sorry, there is a problem Please try again or contact Customer Care for assistance in submitting a reschedule.	button name=Try Again; style=PRIMARY; action=orderPage button name=Contact Customer Care; style=SECONDARY; action=			No	
Flight	RESCHEDULE_FLOW	RESCHEDULE_DATA_NOT_ALLOWED	Booking Form to Payment Page	Sorry, there is a problem Please try again or contact Customer Care for assistance in submitting a reschedule.	button name=Try Again; style=PRIMARY; action=orderPage button name=Contact Customer Care; style=SECONDARY; action=			No	
Flight	RESCHEDULE_FLOW	UPDATE_RESCHEDULE_FINAL_DATA_FAILED	Booking Form to Payment Page	Let's order again! Failed to save your order because there was a little problem	button name=Reload; style=PRIMARY; action=Stay			No	
Flight	RESCHEDULE_FLOW	RESCHEDULE_LOCK_INVALID	Booking Form to Payment Page	Sorry, there is a problem Please try again or contact Customer Care for assistance in submitting a reschedule.	button name=Try Again; style=PRIMARY; action=orderPage button name=Contact Customer Care; style=SECONDARY; action=			No	
Flight	RESCHEDULE_FLOW	RESCHEDULE_REQUEST_ALREADY_USED	Booking Form to Payment Page	Sorry, there is a problem Please try again or contact Customer Care for assistance in submitting a reschedule.	button name=Try Again; style=PRIMARY; action=orderPage button name=Contact Customer Care; style=SECONDARY; action=			No	
Flight	RESCHEDULE_FLOW	UPDATE_CREATE_ORDER_RESCHEDULE_REQUEST_LOG_FAILED	Booking Form to Payment Page	Let's order again! Failed to save your order because there was a little problem	button name=Reload; style=PRIMARY; action=Stay			No	
Flight	RESCHEDULE_FLOW	RESCHEDULE_DATA_INVALID	Booking Form to Payment Page	Sorry, there is a problem Please try again or contact Customer Care for assistance in submitting a reschedule.	button name=Try Again; style=PRIMARY; action=orderPage button name=Contact Customer Care; style=SECONDARY; action=			No	
Flight	RESCHEDULE_FLOW	RESCHEDULE_NOT_ALLOWED	Booking Form to Payment Page	Sorry, there is a problem Please try again or contact Customer Care for assistance in submitting a reschedule.	button name=Try Again; style=PRIMARY; action=orderPage button name=Contact Customer Care; style=SECONDARY; action=			No	